ano,cpb,titulo,direcao,genero,produtora_maj,produtora_min,distribuidora,uf_bruto,uf2_bruto,max_salas,publico,renda_corrente,uf_maj,n_ufs,coproducao,decada,filmes_diretor_antes,filmes_distribuidora_antes,filmes_produtora_antes,estreia_do_diretor,experiencia_da_direcao,porte_da_distribuidora,contratos_fsa,projetos_incentivo,recebeu_fsa,recebeu_incentivo,origem_do_fomento,deflator,renda_deflacionada_2024,populacao_br,filmes_no_ano,sucesso_global,mediana_publico_do_ano,sucesso_no_ano
2023,B2300062600000,"Mesmo Que Tudo Dê Errado, Já Deu Tudo Certo",Lais Lisboa Chaffe,Documentário,Laís Lisboa Chaffe,,Atena Produções,RS,,1,336,2264.0,RS,1.0,0,2020,0,0,0,1,estreante,nova,0.0,0.0,0.0,0.0,sem fomento,1.0436741795953661,2362.878342603909,,161,0,802.0,0
2023,B2300212900000,Meu Nome É Gal,"Sonia Politi Assuncao, Dandara Da Costa Ferreira",Ficção,Paris Produções Cinematográficas Ltda,Dramatica Filmes - Eireli / Telecine Programacao De Filmes Ltda,Paris,SP,SP/RJ,353,153864,3293525.03,SP,1.0,1,2020,0,42,3,1,estreante,media,1.0,1.0,1.0,1.0,FSA e incentivo,1.0436741795953661,3437367.0336620533,,161,1,802.0,1
2023,B2300519200000,Minha Irmã E Eu,Susana Garcia Assis Freire,Ficção,Paris Produções Cinematográficas Ltda,Globo Comunicação E Participações S/A /Telecine Programacao De Filmes Ltda,Paris,SP,ND/RJ/RJ,1925,2285860,43666630.52,SP,1.0,1,2020,0,42,3,1,estreante,media,0.0,2.0,0.0,1.0,só incentivo,1.0436741795953661,45573734.78365498,,161,1,802.0,1
2023,B1800610400000,Mirante,Rodrigo John,Documentário,Osso Produções Ltda.,,Lança Filmes,RS,,2,177,2296.16,RS,1.0,0,2020,0,16,0,1,estreante,pequena,1.0,0.0,1.0,0.0,só FSA,1.0436741795953661,2396.4429042196957,,161,0,802.0,0
2023,B2000360900000,Miúda E O Guarda-Chuva,"Victor De Morais Cayres, Paula Alice Baptista Borges, Amadeu Alban Gonzalez",Animação,Movioca Produções Artísticas Ltda - Me,Santo Forte Serviços De Imagem E Conteúdo Ltda,Tucumán,SP,,1,8,120.0,SP,1.0,1,2020,0,13,0,1,estreante,pequena,1.0,0.0,1.0,0.0,só FSA,1.0436741795953661,125.24090155144394,,161,0,802.0,0
2023,B2200361800000,"Môa, Raiz Afro Mãe",Gustavo Mcnair Koury Lopes,Documentário,Kana Filmes E Produções Ltda.,,O2 Play,SP,,11,1552,19915.51,SP,1.0,0,2020,0,49,0,1,estreante,media,1.0,0.0,1.0,0.0,só FSA,1.0436741795953661,20785.30356047331,,161,0,802.0,1
2023,B2200503900000,Muleque Té Doido 4 - Morreu Maria Preá!,Francisco Duarte Da Silva,Ficção,F D Da Silva - Me,,O2 Play / Raça Ruim Filmes,MA,,8,22823,430975.88,MA,1.0,0,2020,1,0,1,0,iniciante,nova,0.0,0.0,0.0,0.0,sem fomento,1.0436741795953661,449798.39798439096,,161,1,802.0,1
2023,B2200015500000,Muribeca,"Camilo Lourenco Soares, Alcione Ferreira Dos Santos",Documentário,Senda Produções Audiovisuais Ltda,,Descoloniza Filmes,PE,,6,91,1601.66,PE,1.0,0,2020,0,7,0,1,estreante,pequena,0.0,0.0,0.0,0.0,sem fomento,1.0436741795953661,1671.611186490714,,161,0,802.0,0
2023,B2300418000000,"Mussum, O Filmis",Silvio De Miranda Guindane,Ficção,Globo Comunicação E Participações S/A,Camisa Listrada Ltda / Panorama Filmes Ltda. / Telecine Programacao De Filmes Ltda / Xanadu Produções Cinematográficas Ltda,Downtown,RJ,RJ/RJ/RJ/ND,786,213830,4210950.05,RJ,1.0,1,2020,0,57,2,1,estreante,media,2.0,1.0,1.0,1.0,FSA e incentivo,1.0436741795953661,4394859.838750816,,161,1,802.0,1
2023,B2300367100000,Não Sei Quantas Almas Tenho,"Patricia Niedermeier, Carlos Vinicius Borges",Ficção,Cavideo Produções Comércio E Locação De Filmes Ltda,,Cavideo Produções,RJ,,1,410,6150.0,RJ,1.0,0,2020,0,7,0,1,estreante,pequena,0.0,0.0,0.0,0.0,sem fomento,1.0436741795953661,6418.596204511502,,161,0,802.0,0
2023,B2300367700000,Não Tem Volta,Cesar Eduardo Rodrigues De Souza,Ficção,Conspiração Filmes Entretenimento 3º Milênio Ltda.,,Disney,RJ,,312,19371,338395.04,RJ,1.0,0,2020,0,23,0,1,estreante,media,0.0,1.0,0.0,1.0,só incentivo,1.0436741795953661,353174.1657511411,,161,1,802.0,1
2023,B2000230700000,Nas Ondas Da Fé,Felipe Joffily,Ficção,Paulo Augusto P. Casé Ltda,,Imagem,RJ,,497,36194,683869.07,RJ,1.0,0,2020,6,86,0,0,veterana,grande,2.0,1.0,1.0,1.0,FSA e incentivo,1.0436741795953661,713736.4905828959,,161,1,802.0,1
2023,B2100027500000,Natureza Morta,"Luiz Rosemberg Filho, Clarissa Moebus De Alencar Ramalho",Ficção,Artifício Cinematográfico E Produções Ltda.,Viralata Filmes Ltda,Livres Filmes,RJ,RJ,2,200,1752.77,RJ,1.0,1,2020,0,20,0,1,estreante,media,1.0,0.0,1.0,0.0,só FSA,1.0436741795953661,1829.3207917693699,,161,0,802.0,0
